                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0831,                  3.246,                 3.4283,                0.10118,                0.19896,                0.05642,                0.01647,                 2.5051,                 5.4767,                 2.7996,             0.00066491,             0.00066491,             0.00066491
                      2,                 2.3225,                 2.3363,                 2.3681,                0.36344,                0.40427,                0.32114,                0.10531,                 2.1393,                 2.2886,                 2.2548,              0.0013184,              0.0013184,              0.0013184
                      3,                 2.1177,                 1.9826,                 2.0941,                0.50134,                0.45559,                 0.4496,                0.16481,                 2.1157,                 1.9558,                 2.2277,              0.0019587,              0.0019587,              0.0019587
                      4,                 2.0203,                 1.8112,                 1.9818,                0.65253,                0.56747,                0.60765,                0.23875,                 1.9352,                 1.7278,                 2.0432,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.9296,                 1.6585,                 1.8967,                0.71249,                0.65283,                0.69478,                0.30039,                 1.8393,                 1.6957,                 1.9399,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.8729,                 1.5767,                  1.843,                0.76511,                0.66551,                0.74062,                0.33513,                 1.8198,                 1.4033,                 1.9451,               0.001901,               0.001901,               0.001901
                      7,                 1.8296,                 1.4915,                  1.798,                0.76606,                0.66609,                 0.7395,                 0.3413,                  1.757,                 1.3805,                 1.8283,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.791,                 1.4495,                 1.7569,                0.77678,                0.68835,                 0.7649,                0.36369,                 1.7419,                 1.2824,                 1.8033,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.7733,                 1.3857,                  1.726,                0.79359,                0.71799,                0.77455,                0.35802,                 1.7938,                 1.2671,                 1.8997,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7326,                 1.3414,                 1.7069,                0.78441,                0.70992,                0.78499,                0.37701,                 1.7256,                 1.2257,                 1.8098,              0.0018218,              0.0018218,              0.0018218
                     11,                   1.72,                  1.315,                 1.6939,                0.81518,                0.76056,                0.80611,                0.38969,                 1.6775,                 1.2286,                 1.7161,               0.001802,               0.001802,               0.001802
                     12,                 1.6924,                 1.2725,                 1.6617,                0.82687,                0.75894,                0.82421,                0.41004,                 1.6439,                 1.1106,                 1.7224,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.6723,                 1.2259,                 1.6472,                 0.8187,                0.76125,                0.82039,                0.40511,                 1.7004,                 1.1205,                 1.7497,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6516,                 1.2087,                 1.6325,                0.84619,                0.77278,                0.84134,                0.41751,                 1.6718,                 1.0825,                 1.7301,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6388,                 1.1831,                 1.6176,                0.85354,                0.77302,                0.84277,                0.42893,                 1.6367,                 1.0342,                 1.6954,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6314,                 1.1615,                 1.6108,                0.83946,                0.79066,                 0.8431,                0.42479,                 1.6676,                 1.0436,                 1.7292,               0.001703,               0.001703,               0.001703
                     17,                 1.6194,                  1.155,                 1.6086,                0.83843,                0.79412,                0.85077,                0.42785,                 1.5969,                 1.0834,                 1.6439,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6049,                 1.1245,                  1.594,                0.85736,                0.79377,                0.85643,                0.44864,                 1.5661,                0.95617,                 1.6266,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5893,                 1.0965,                 1.5812,                0.86198,                 0.7872,                0.85771,                0.44365,                  1.591,                 1.0051,                 1.6432,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.5882,                 1.0916,                 1.5809,                0.86475,                0.80379,                0.85777,                0.44207,                 1.6271,                0.95504,                 1.6661,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.563,                 1.0737,                 1.5639,                0.83604,                0.82044,                0.86463,                 0.4497,                 1.5618,                0.95935,                 1.6112,               0.001604,               0.001604,               0.001604
                     22,                 1.5573,                 1.0621,                 1.5554,                 0.8746,                  0.812,                0.87423,                0.45693,                 1.5683,                0.95805,                 1.6057,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5509,                 1.0528,                 1.5492,                0.86951,                0.82239,                0.87343,                0.45879,                 1.5641,                0.94326,                 1.6162,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5374,                 1.0354,                 1.5433,                0.86642,                0.82353,                 0.8769,                0.46801,                  1.544,                0.89617,                 1.5938,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5354,                 1.0246,                 1.5312,                0.87035,                0.83103,                0.89052,                0.47443,                 1.5224,                0.87481,                 1.5815,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5354,                  1.013,                 1.5322,                0.86529,                0.84088,                0.88176,                0.46795,                 1.5367,                 0.8897,                 1.5865,               0.001505,               0.001505,               0.001505
                     27,                 1.5123,                0.99424,                 1.5182,                0.87656,                0.83679,                0.88145,                0.46282,                 1.5385,                0.89261,                 1.5944,              0.0014852,              0.0014852,              0.0014852
