                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8593,                 3.5353,                 4.1756,                0.00333,                0.06897,                0.00181,                0.00101,                 3.8196,                  3.599,                 4.1587,                  2e-05,                  2e-05,                  2e-05
                      2,                   3.81,                 3.5474,                 4.1811,                0.00333,                0.06897,                0.00181,                0.00101,                 3.8195,                 3.5968,                 4.1591,             5.9703e-05,             5.9703e-05,             5.9703e-05
                      3,                 3.7161,                  3.485,                 4.1622,                  0.005,                0.10345,                0.00283,                0.00129,                 3.8185,                 3.5954,                 4.1586,              9.901e-05,              9.901e-05,              9.901e-05
                      4,                 3.4843,                 3.4285,                 4.1516,                  0.005,                0.10345,                0.00283,                 0.0013,                 3.8167,                 3.5907,                 4.1572,             0.00013792,             0.00013792,             0.00013792
                      5,                 3.5146,                 3.4423,                 4.1294,                  0.005,                0.10345,                0.00296,                 0.0013,                 3.8146,                 3.5848,                 4.1548,             0.00017644,             0.00017644,             0.00017644
                      6,                 3.4621,                 3.3313,                 4.1106,                  0.005,                0.10345,                0.00297,                0.00143,                  3.807,                 3.5737,                 4.1525,             0.00021456,             0.00021456,             0.00021456
                      7,                 3.5387,                 3.2546,                 4.0924,                  0.005,                0.10345,                0.00281,                0.00141,                 3.7982,                 3.5621,                  4.148,             0.00025228,             0.00025228,             0.00025228
                      8,                 3.6338,                 3.1418,                 4.0712,                  0.005,                0.10345,                0.00276,                0.00141,                 3.7879,                 3.5421,                 4.1423,              0.0002896,              0.0002896,              0.0002896
                      9,                  3.571,                 3.0924,                 4.0504,                  0.005,                0.10345,                0.00281,                0.00142,                 3.7831,                 3.5335,                  4.139,             0.00032654,             0.00032654,             0.00032654
                     10,                 3.6777,                 3.1153,                 4.0449,                  0.005,                0.10345,                0.00281,                0.00142,                 3.7715,                 3.5122,                 4.1329,             0.00036307,             0.00036307,             0.00036307
